n,p,DPAvgValidPaths,DPAvgOptimalPaths,RecAvgValidPaths,RecAvgOptimalPaths
9,0.814815,0.000000,0.000000,0.000000,0.000000
9,0.827160,0.000000,0.000000,0.000000,0.000000
9,0.839506,0.000000,0.000000,0.000000,0.000000
9,0.851852,0.000000,0.000000,0.000000,0.000000
9,0.864198,0.000000,0.000000,0.000000,0.000000
9,0.876543,0.000000,0.000000,0.000000,0.000000
9,0.888889,0.000000,0.000000,0.000000,0.000000
9,0.901235,0.000000,0.000000,0.000000,0.000000
9,0.913580,0.000000,0.000000,0.000000,0.000000
9,0.925926,0.000000,0.000000,0.000000,0.000000
9,0.938272,0.000000,0.000000,0.000000,0.000000
9,0.950617,0.000000,0.000000,0.000000,0.000000
9,0.962963,0.000000,0.000000,0.000000,0.000000
9,0.975309,0.000000,0.000000,0.000000,0.000000
9,0.987654,0.000000,0.000000,0.000000,0.000000
9,1.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,48620.000000,2.000000,48620.000000,2.000000
10,0.010000,39913.900000,1.600000,39913.900000,1.600000
10,0.020000,36276.300000,2.000000,36276.300000,2.000000
10,0.030000,31037.555556,2.111111,31037.555556,2.111111
10,0.040000,20051.857143,2.142857,20051.857143,2.142857
10,0.050000,24647.000000,3.444444,24647.000000,3.444444
10,0.060000,16004.444444,2.555556,16004.444444,2.555556
10,0.070000,12834.250000,2.500000,12834.250000,2.500000
10,0.080000,8517.666667,3.000000,8517.666667,3.000000
10,0.090000,10054.625000,4.000000,10054.625000,4.000000
10,0.100000,5756.857143,2.285714,5756.857143,2.285714
10,0.110000,6242.111111,2.333333,6242.111111,2.333333
10,0.120000,4274.571429,2.000000,4274.571429,2.000000
10,0.130000,4523.500000,3.333333,4523.500000,3.333333
10,0.140000,2130.833333,3.166667,2130.833333,3.166667
10,0.150000,4060.000000,3.666667,4060.000000,3.666667
10,0.160000,1143.200000,1.400000,1143.200000,1.400000
10,0.170000,1664.000000,2.500000,1664.000000,2.500000
